YEAR,COUNTRY,CLASS_1_BURN_AREA_KM2,CLASS_1_BURN_AREA_PCT,CLASS_2_BURN_AREA_KM2,CLASS_2_BURN_AREA_PCT,CLASS_3_BURN_AREA_KM2,CLASS_3_BURN_AREA_PCT,CLASS_4_BURN_AREA_KM2,CLASS_4_BURN_AREA_PCT,CLASS_5_BURN_AREA_KM2,CLASS_5_BURN_AREA_PCT,CLASS_6_BURN_AREA_KM2,CLASS_6_BURN_AREA_PCT,CLASS_7_BURN_AREA_KM2,CLASS_7_BURN_AREA_PCT,CLASS_8_BURN_AREA_KM2,CLASS_8_BURN_AREA_PCT,CLASS_9_BURN_AREA_KM2,CLASS_9_BURN_AREA_PCT,CLASS_10_BURN_AREA_KM2,CLASS_10_BURN_AREA_PCT,CLASS_11_BURN_AREA_KM2,CLASS_11_BURN_AREA_PCT,CLASS_12_BURN_AREA_KM2,CLASS_12_BURN_AREA_PCT,CLASS_13_BURN_AREA_KM2,CLASS_13_BURN_AREA_PCT,CLASS_14_BURN_AREA_KM2,CLASS_14_BURN_AREA_PCT,CLASS_15_BURN_AREA_KM2,CLASS_15_BURN_AREA_PCT,CLASS_16_BURN_AREA_KM2,CLASS_16_BURN_AREA_PCT,CLASS_17_BURN_AREA_KM2,CLASS_17_BURN_AREA_PCT,CLASS_18_BURN_AREA_KM2,CLASS_18_BURN_AREA_PCT,CLASS_19_BURN_AREA_KM2,CLASS_19_BURN_AREA_PCT
1989,Canada,27128.9295,0.002725729283673495,1289.6009999999999,0.0001295702880555837,0.0,0.0,0.0,0.0,3050.8379999999997,0.00030652733556419456,1354.6494,0.00013610590637904566,0.0,0.0,15655.167,0.0015729241042371,0.0,0.0,4502.6946,0.0004523999565356426,250.7319,2.5191826392600357e-05,2659.5998999999997,0.0002672184072093629,37.7469,3.792550336270918e-06,9033.125399999999,0.0009075866567412787,30.773699999999998,3.091930894544992e-06,486.1287,4.884288682397613e-05,28.011599999999998,2.8144139783528305e-06,1336.2138,0.00013425362338416775,0.0018,1.8085168862310954e-10
1989,United States,667.0917,7.0473034303232e-05,0.0,0.0,110.21759999999999,1.1643629662338629e-05,6.4782,6.843712953154679e-07,90.5526,9.566175813680256e-06,61.1892,6.4641616596148975e-06,703.3374,7.430210976533812e-05,1593.4805999999999,0.0001683387950791993,321.7923,3.399484628037783e-05,1124.7534,0.00011882142281320068,0.0,0.0,0.0,0.0,0.0,0.0,2655.7722,0.0002805616159699932,82.4337,8.708477362021346e-06,7.6274999999999995,8.057858749372867e-07,74.4363,7.863614437573828e-06,40.4703,4.27537149714513e-06,0.0,0.0
1990,Canada,3207.5081999999998,0.0003222684856902614,235.62359999999998,2.3673847744142285e-05,0.0,0.0,0.0,0.0,174.0852,1.7490890213495415e-05,703.4967,7.068253674210284e-05,0.0,0.0,1846.7937,0.0001855531995464002,0.0,0.0,1005.4107,0.00010101679047485701,12.0006,1.2057382080502715e-06,49.428,4.966187369590588e-06,5.7195,5.746562405999306e-07,1278.5013,0.0001284550661176893,4.5945,4.616239352104871e-07,50.3955,5.06339515222551e-06,8.7831,8.82465814636463e-07,129.1437,1.2975475677797929e-05,1.2609,1.266866078804882e-07
1990,United States,1544.9202,0.00016320876762573427,0.0,0.0,86.9427,9.184818038532946e-06,11.820599999999999,1.2487541806992713e-06,259.7409,2.743959991655173e-05,759.2967,8.021377328698716e-05,242.46179999999998,2.5614197791133324e-05,7299.9432,0.000771182054199213,95.8338,1.0124093396468693e-05,1128.2742,0.00011919336786839297,0.0,0.0,0.0,0.0,0.0,0.0,2270.6378999999997,0.00023987518150341046,120.5937,1.2739783686191372e-05,13.8393,1.4620140883670395e-06,74.8287,7.90506843656765e-06,64.5138,6.815379715310277e-06,0.0,0.0
1991,Canada,6065.7408,0.0006094441480167174,138.3615,1.3901617175236874e-05,0.0,0.0,0.0,0.0,305.4204,3.068655282219198e-05,2004.6933,0.00020141787137579662,0.0,0.0,3266.6517,0.0003282108200491952,0.0,0.0,1722.0014999999999,0.00017301493282584864,40.2804,4.047099088007945e-06,156.7017,1.5744315030617736e-05,6.7752,6.807257559773843e-07,1574.1567,0.0001581604985291009,7.714799999999999,7.751303374386475e-07,60.2073,6.049217706910079e-06,7.983,8.020772390434908e-07,397.9989,3.9988207297300064e-05,0.0,0.0
1991,United States,753.6546,7.961772943448193e-05,8.0388,8.49236511497327e-07,79.7103,8.420771396527515e-06,8.6319,9.118928998847808e-07,2211.5915999999997,0.00023363740051261277,171.0657,1.807175676778229e-05,196.9992,2.0811428742569067e-05,3326.9895,0.0003514704877305364,82.4202,8.707051192331192e-06,1599.3261,0.0001689563265550362,62.6445,6.617902752213552e-06,22.608,2.3883588411120527e-06,0.0,0.0,1146.5208,0.00012112097882160578,246.11939999999998,2.6000594699185847e-05,56.1474,5.931534819331867e-06,118.9872,1.2570069493062987e-05,40.1229,4.238671397118488e-06,0.0,0.0
1992,Canada,3343.5081,0.0003359328254500248,263.9772,2.6522623543333504e-05,0.0,0.0,0.0,0.0,95.5647,9.601687426533821e-06,220.47209999999998,2.215152865515726e-05,0.0,0.0,3111.5034,0.00031262258002585924,0.0,0.0,776.2067999999999,7.798795027818903e-05,38.1141,3.829444080750033e-06,88.5807,8.899982874676154e-06,2.4381,2.449636122400019e-07,634.5108,6.375130534977786e-05,6.75,6.781938323366608e-07,22.3992,2.2505184132259753e-06,5.1426,5.166932743962239e-07,133.6392,1.3427152770134144e-05,0.0531,5.3351248143817314e-09
1992,United States,481.9311,5.0912261300949075e-05,0.0,0.0,88.1784,9.315360104171754e-06,8.3151,8.784254511558221e-07,102.32639999999999,1.0809985939453658e-05,83.8278,8.855753152024634e-06,330.1254,3.487517329112052e-05,2405.6702999999998,0.0002541403012122117,72.75959999999999,7.686484162056639e-06,2245.8123,0.00023725255052119574,0.0,0.0,0.0,0.0,0.0,0.0,832.0284,8.789731003168415e-05,228.5829,2.4148000271675165e-05,24.0642,2.54219501169005e-06,74.4723,7.867417556747572e-06,20.0727,2.1205241733010395e-06,0.0,0.0
1993,Canada,6605.2152,0.0006636468459105723,1844.7993,0.0001853528158754058,0.0,0.0,0.0,0.0,523.1853,5.256608053766008e-05,1191.9312,0.00011975709457920517,0.0,0.0,3727.2275999999997,0.0003744863363014777,0.0,0.0,2405.6585999999998,0.00024170412225594756,31.293,3.1441066067127593e-06,130.2426,1.3085885633702338e-05,1.0755,1.0805888395230795e-07,2704.2183,0.00027170135886695255,10.0998,1.0147588248642677e-06,69.1623,6.94895485781005e-06,5.4098999999999995,5.435497501567556e-07,353.4309,3.551031948699187e-05,0.0,0.0
1993,United States,677.8296,7.160740967478088e-05,0.0,0.0,114.4476,1.2090496165253703e-05,0.8235,8.699635109942389e-08,127.062,1.342310912373406e-05,56.5137,5.970231556924726e-06,1466.4977999999999,0.00015492405281764747,2007.4868999999999,0.00021207533112312574,439.0191,4.637894324584467e-05,826.0713,8.726798888640863e-05,0.0,0.0,0.0,0.0,0.0,0.0,684.981,7.236289929864538e-05,70.4358,7.440992819391379e-06,13.122,1.3862369388301642e-06,99.8541,1.05488067301967e-05,43.4664,4.591886090380083e-06,0.0,0.0
