YEAR,COUNTRY,CLASS_1_BURN_AREA_KM2,CLASS_1_BURN_AREA_PCT,CLASS_2_BURN_AREA_KM2,CLASS_2_BURN_AREA_PCT,CLASS_3_BURN_AREA_KM2,CLASS_3_BURN_AREA_PCT,CLASS_4_BURN_AREA_KM2,CLASS_4_BURN_AREA_PCT,CLASS_5_BURN_AREA_KM2,CLASS_5_BURN_AREA_PCT,CLASS_6_BURN_AREA_KM2,CLASS_6_BURN_AREA_PCT,CLASS_7_BURN_AREA_KM2,CLASS_7_BURN_AREA_PCT,CLASS_8_BURN_AREA_KM2,CLASS_8_BURN_AREA_PCT,CLASS_9_BURN_AREA_KM2,CLASS_9_BURN_AREA_PCT,CLASS_10_BURN_AREA_KM2,CLASS_10_BURN_AREA_PCT,CLASS_11_BURN_AREA_KM2,CLASS_11_BURN_AREA_PCT,CLASS_12_BURN_AREA_KM2,CLASS_12_BURN_AREA_PCT,CLASS_13_BURN_AREA_KM2,CLASS_13_BURN_AREA_PCT,CLASS_14_BURN_AREA_KM2,CLASS_14_BURN_AREA_PCT,CLASS_15_BURN_AREA_KM2,CLASS_15_BURN_AREA_PCT,CLASS_16_BURN_AREA_KM2,CLASS_16_BURN_AREA_PCT,CLASS_17_BURN_AREA_KM2,CLASS_17_BURN_AREA_PCT,CLASS_18_BURN_AREA_KM2,CLASS_18_BURN_AREA_PCT,CLASS_19_BURN_AREA_KM2,CLASS_19_BURN_AREA_PCT
1984,Canada,13.293,1.3424984155547828e-06,47.5929,4.8065442595093076e-06,0.0,0.0,0.0,0.0,7.6995,7.775947153061047e-07,23.364,2.3595977567909383e-06,0.0,0.0,10.9287,1.1037209383941588e-06,0.0,0.0,7.090199999999999,7.160597506933364e-07,1.008,1.0180082771979395e-07,3.1806,3.212179688944213e-07,0.0,0.0,7.7004,7.776856089022831e-07,2.3769,2.4004998750712126e-07,0.1611,1.6269953715931356e-08,0.0,0.0,3.0339,3.064023127173441e-07,0.0,0.0
1984,United States,2.2266,2.356320190471796e-07,0.0,0.0,0.0225,2.3810834584395675e-09,0.0,0.0,0.3006,3.181127500475262e-08,0.10529999999999999,1.1143470585497175e-08,2.8701,3.037310059585512e-07,44.9496,4.75683328993223e-06,0.8180999999999999,8.657619454886267e-08,21.1977,2.2432663478650855e-06,1.1889,1.2581644994394676e-07,0.0054,5.714600300254962e-10,0.0,0.0,5.7672,6.103193120672299e-07,0.8298,8.781435794725126e-08,0.0108,1.1429200600509925e-09,0.37079999999999996,3.924025539508407e-08,0.0603,6.381303668618042e-09,0.0,0.0
1985,Canada,15.1245,1.5274668837778012e-06,34.0524,3.439050105005468e-06,0.0,0.0,0.0,0.0,7.5483,7.623245911481356e-07,13.7043,1.384036789008306e-06,0.0,0.0,13.055399999999999,1.3185025061636884e-06,0.0,0.0,6.345,6.407998530576316e-07,4.869,4.917343553250761e-07,2.3319,2.3550530769820192e-07,0.0288,2.9085950777083988e-09,2.0556,2.0760097367143697e-07,0.54,5.453615770703248e-08,0.1683,1.6997102485358454e-08,0.0,0.0,2.7197999999999998,2.7468044765108686e-07,0.0108,1.0907231541406495e-09
1985,United States,15.2721,1.616184208250441e-06,0.033299999999999996,3.5240035184905598e-09,0.5787,6.124146655106568e-08,0.0,0.0,4.4334,4.691686846509324e-07,3.627,3.838306535004583e-07,11.3949,1.2058759066921346e-06,108.054,1.1434915200810179e-05,1.0755,1.1381578931341132e-07,28.2924,2.99406958398025e-06,0.5094,5.390772949907181e-08,0.09179999999999999,9.714820510433435e-09,0.0,0.0,28.6155,3.028261942443442e-06,3.1841999999999997,3.369709310383676e-07,0.058499999999999996,6.1908169919428756e-09,1.656,1.7524774254115217e-07,1.1781,1.2467352988389575e-07,0.0,0.0
1986,Canada,7.5798,7.655058670143791e-07,4.0365,4.076577788600678e-07,0.0,0.0,0.0,0.0,16.4106,1.6573538327167167e-06,21.7665,2.1982616235743006e-06,0.0,0.0,41.960699999999996,4.237732134624958e-06,0.0,0.0,4.7844,4.831903572843077e-07,4.212,4.253820301148533e-07,7.7246999999999995,7.801397359990995e-07,0.0054,5.453615770703248e-10,7.7688,7.845935222118405e-07,0.2808,2.8358802007656886e-08,0.0819,8.27131725223326e-09,0.0,0.0,1.863,1.8814974408926205e-07,0.0,0.0
1986,United States,9.6786,1.0242468604823643e-06,0.0387,4.095463548516056e-09,0.1449,1.5334177472350815e-08,0.0,0.0,1.6317,1.7267617240603744e-07,0.8082,8.552851782714928e-08,2.0997,2.2220270834158043e-07,64.7415,6.851329543314012e-06,1.0070999999999999,1.0657729559975503e-07,22.206599999999998,2.3500341301415154e-06,0.5031,5.324102613070873e-08,0.0414,4.381193563528805e-09,0.0045,4.762166916879135e-10,12.6252,1.33607355019961e-06,2.6802,2.836346615693213e-07,0.22319999999999998,2.362034790772051e-08,1.2222,1.2934045346243731e-07,0.0594,6.286060330280459e-09,0.0,0.0
1987,Canada,11.8017,1.1918877266871948e-06,8.2548,8.336760641481697e-07,0.0,0.0,0.0,0.0,12.0879,1.220791890271922e-06,21.868199999999998,2.2085325999424583e-06,0.0,0.0,56.1852,5.674305422224373e-06,0.0,0.0,5.0022,5.051866075594775e-07,1.9575,1.9769357168799272e-07,4.3929,4.436516429467092e-07,0.0009,9.089359617838746e-11,4.2318,4.273816892307778e-07,1.053,1.0634550752871332e-07,0.1089,1.0998125137584882e-08,0.0,0.0,3.0213,3.051298023708467e-07,0.0,0.0
1987,United States,28.9395,3.0625495442449717e-06,0.0,0.0,0.0873,9.238603818745523e-09,0.0,0.0,55.364399999999996,5.858989201174737e-06,0.5004,5.295529611569598e-08,2.5704,2.7201497429213616e-07,58.986,6.24224839464517e-06,0.1251,1.3238824028923995e-08,12.9339,1.368742015249401e-06,0.5445,5.762221969423753e-08,0.5967,6.314633331781733e-08,0.0,0.0,10.466099999999999,1.1075847815277491e-06,5.4801,5.799366871375411e-07,0.0342,3.619246856828143e-09,1.8440999999999999,1.9515360025370694e-07,0.24029999999999999,2.542997133613458e-08,0.0018,1.9048667667516542e-10
1988,Canada,14.9229,1.5071067182338425e-06,18.2349,1.8415951521703083e-06,0.0,0.0,0.0,0.0,15.6492,1.5804578503498012e-06,48.051899999999996,4.852899993560284e-06,0.0,0.0,51.9912,5.250741264033087e-06,0.0,0.0,6.8715,6.939726068219883e-07,4.3965,4.440152173314227e-07,2.0943,2.1150939830710763e-07,0.0081,8.180423656054871e-10,9.958499999999999,1.0057376417138572e-06,1.0817999999999999,1.0925410260642172e-07,0.0441,4.4537862127409854e-09,0.0,0.0,3.8682,3.9066067637470927e-07,0.0,0.0
1988,United States,40.475699999999996,4.283378655056106e-06,0.3222,3.4097115124854606e-08,0.1422,1.5048447457338066e-08,0.0,0.0,5.6916,6.02318871646873e-07,4.9220999999999995,5.208858173682398e-07,3.6441,3.8564027692887237e-07,158.5872,1.6782638161788773e-05,0.7569,8.009964754190706e-08,55.3275,5.855084224302897e-06,0.0144,1.5238934134013233e-09,1.1060999999999999,1.1705406281688913e-07,0.0,0.0,11.7081,1.2390205884336134e-06,3.8493,4.0735575806984124e-07,0.14579999999999999,1.5429420810688398e-08,0.2583,2.7334838102886234e-08,0.35819999999999996,3.7906848658357914e-08,0.3231,3.419235846319219e-08
1989,Canada,75.2796,7.602703958745041e-06,119.8926,1.2108299521307708e-05,0.0,0.0,0.0,0.0,84.9159,8.575901693027034e-06,172.11419999999998,1.7382309545962458e-05,0.0,0.0,393.8409,3.9775128581258526e-05,0.0,0.0,17.5716,1.7746065717868368e-06,12.4632,1.2586945198783097e-06,11.0313,1.114082808358495e-06,0.0387,3.908424635670661e-09,44.676,4.511958114295153e-06,3.7998,3.8375276306515186e-07,0.2367,2.3905015794915903e-08,0.0,0.0,22.232699999999998,2.2453445063947053e-06,0.0,0.0
1989,United States,9.6066,1.0166273934153577e-06,0.0,0.0,0.15209999999999999,1.6096124179051476e-08,0.0,0.0,2.3697,2.5077570984285525e-07,0.0837,8.85763046539519e-09,4.0194,4.253567490156444e-07,34.272,3.6268663238951494e-06,0.35819999999999996,3.7906848658357914e-08,19.2465,2.0367787903492063e-06,0.1197,1.26673639988985e-08,0.018,1.904866766751654e-09,0.0108,1.1429200600509925e-09,33.5898,3.5546718734352614e-06,3.0744,3.253512437611825e-07,0.0009,9.524333833758271e-11,1.0908,1.1543492606515024e-07,0.7595999999999999,8.03853775569198e-08,0.0,0.0
1990,Canada,12.2652,1.2386979287190643e-06,15.050699999999999,1.5200136088911734e-06,0.0,0.0,0.0,0.0,6.7886999999999995,6.856103959735766e-07,23.177699999999998,2.340782782382012e-06,0.0,0.0,46.9917,4.745827337262145e-06,0.0,0.0,5.4252,5.479065977633196e-07,0.6156,6.217121978601703e-08,7.6707,7.746861202283963e-07,0.0054,5.453615770703248e-10,4.4199,4.4637845083206084e-07,0.4077,4.117479906880952e-08,0.2646,2.6722717276445914e-08,0.0,0.0,1.8594,1.877861697045485e-07,0.026099999999999998,2.635914289173236e-09
1990,United States,12.9825,1.3738851555196305e-06,0.5796,6.133670988940326e-08,0.153,1.619136751738906e-08,0.0,0.0,4.3677,4.622159209522889e-07,4.599,4.866934589050476e-07,2.0951999999999997,2.217264916498925e-07,119.72879999999999,1.2670411785725302e-05,0.1296,1.3715040720611909e-08,22.7709,2.40975170327918e-06,0.4356,4.609777575539003e-08,10.7658,1.1393008131941644e-06,0.0126,1.333406736726158e-09,17.2908,1.829815016141639e-06,3.573,3.7811605320020336e-07,0.0243,2.5715701351147328e-09,0.774,8.190927097032113e-08,0.27,2.8573001501274814e-08,0.0,0.0
1991,Canada,19.3419,1.953394275469725e-06,34.6905,3.5034936646959446e-06,0.0,0.0,0.0,0.0,40.2273,4.0626710683853845e-06,37.053,3.7420893546642113e-06,0.0,0.0,67.7871,6.846014770559964e-06,0.0,0.0,9.0243,9.113900888806911e-07,1.8414,1.8596829778098074e-07,2.9952,3.024938880816735e-07,0.058499999999999996,5.908083751595185e-09,6.2694,6.33164790978647e-07,0.8316,8.398568286883001e-08,0.1422,1.4361188196185218e-08,0.0,0.0,5.778,5.835368874652474e-07,0.0,0.0
