YEAR,COUNTRY,CLASS_1_BURN_AREA_KM2,CLASS_1_BURN_AREA_PCT,CLASS_2_BURN_AREA_KM2,CLASS_2_BURN_AREA_PCT,CLASS_3_BURN_AREA_KM2,CLASS_3_BURN_AREA_PCT,CLASS_4_BURN_AREA_KM2,CLASS_4_BURN_AREA_PCT,CLASS_5_BURN_AREA_KM2,CLASS_5_BURN_AREA_PCT,CLASS_6_BURN_AREA_KM2,CLASS_6_BURN_AREA_PCT,CLASS_7_BURN_AREA_KM2,CLASS_7_BURN_AREA_PCT,CLASS_8_BURN_AREA_KM2,CLASS_8_BURN_AREA_PCT,CLASS_9_BURN_AREA_KM2,CLASS_9_BURN_AREA_PCT,CLASS_10_BURN_AREA_KM2,CLASS_10_BURN_AREA_PCT,CLASS_11_BURN_AREA_KM2,CLASS_11_BURN_AREA_PCT,CLASS_12_BURN_AREA_KM2,CLASS_12_BURN_AREA_PCT,CLASS_13_BURN_AREA_KM2,CLASS_13_BURN_AREA_PCT,CLASS_14_BURN_AREA_KM2,CLASS_14_BURN_AREA_PCT,CLASS_15_BURN_AREA_KM2,CLASS_15_BURN_AREA_PCT,CLASS_16_BURN_AREA_KM2,CLASS_16_BURN_AREA_PCT,CLASS_17_BURN_AREA_KM2,CLASS_17_BURN_AREA_PCT,CLASS_18_BURN_AREA_KM2,CLASS_18_BURN_AREA_PCT,CLASS_19_BURN_AREA_KM2,CLASS_19_BURN_AREA_PCT
1984,Canada,2700.1998,0.00027129760747210147,638.5734,6.415948761100021e-05,0.0,0.0,0.0,0.0,312.4593,3.139377335055265e-05,252.9351,2.541318885947504e-05,0.0,0.0,1501.6725,0.0001508777818799369,0.0,0.0,1469.2347,0.00014761865359925986,66.5253,6.684007133977194e-06,74.2266,7.457781083751168e-06,2.3355,2.3465506598848465e-07,1452.4884,0.00014593609991415477,41.8968,4.209503904391498e-06,84.22919999999999,8.462773917429787e-06,8.6166,8.657370334388254e-07,277.4718,2.7878468652940958e-05,0.0,0.0
1984,United States,206.3088,2.17949153608996e-05,0.1296,1.3691229025483102e-08,36.6012,3.866631263946853e-06,1.3238999999999999,1.3985970761448363e-07,21.0357,2.222257611198726e-06,32.9985,3.4860341126342915e-06,245.04389999999998,2.5886976513870206e-05,2469.4632,0.0002608795234660678,38.4237,4.059164172117709e-06,2002.905,0.0002115912891302873,45.1593,4.770727769525456e-06,4.8096,5.080967216123729e-07,0.0,0.0,404.44919999999996,4.272690298127639e-05,42.3558,4.474559863870041e-06,7.5609,7.98750104465858e-07,42.5286,4.492814835904017e-06,7.0182,7.414180829216475e-07,0.0,0.0
1985,Canada,2446.2054,0.0002457779873938717,289.6947,2.9106542044536184e-05,0.0,0.0,0.0,0.0,257.2911,2.5850849945942964e-05,383.0301,3.848424465471028e-05,0.0,0.0,2002.8915,0.0002012368388354849,0.0,0.0,812.0115,8.158536164243561e-05,39.5181,3.9705083978760584e-06,111.5865,1.1211448306968118e-05,1.2681,1.2741001463498068e-07,448.1442,4.502646406480696e-05,27.1557,2.728419000412542e-06,99.75869999999999,1.0023071861025665e-05,9.734399999999999,9.780459320737763e-07,211.9491,2.1295195909526837e-05,0.8892,8.934073417981612e-08
1985,United States,727.7022,7.687606082212894e-05,0.0,0.0,489.9402,5.175836023912806e-05,5.6529,5.971847882573567e-07,222.00209999999998,2.3452790086714523e-05,327.3048,3.4577198903857575e-05,715.3722,7.557349250512117e-05,4792.141799999999,0.0005062523989690651,376.3719,3.976075525969308e-05,3935.5704,0.0004157623124406802,25.4367,2.6871889301890897e-06,1.3329,1.4081048740791997e-07,0.0,0.0,2414.4507,0.00025506788197868826,166.599,1.7599884756299842e-05,22.4982,2.3767593276321295e-06,194.4252,2.0539505721646276e-05,31.8465,3.3643342990744416e-06,0.0036,3.803119173745306e-10
1986,Canada,2873.7522,0.00028873496558576447,576.0684,5.787941272356273e-05,0.0,0.0,0.0,0.0,127.3446,1.279471441501913e-05,955.5029999999999,9.600240613024835e-05,0.0,0.0,1998.2799,0.0002007734968092325,0.0,0.0,569.925,5.726216591029206e-05,147.9321,1.4863205603645945e-05,97.94969999999999,9.841315913959439e-06,0.1197,1.2026637293436784e-08,726.8319,7.302709803341283e-05,17.0946,1.7175484868536713e-06,17.3628,1.7444953884585146e-06,16.938,1.7018143899434606e-06,142.8795,1.4355554913680879e-05,0.0,0.0
1986,United States,652.257,6.89058639697109e-05,0.5327999999999999,5.628616377143053e-08,86.91029999999999,9.181395231276574e-06,4.4973,4.751046627801324e-07,110.7441,1.1699250280254655e-05,67.4451,7.125048694032488e-06,292.5054,3.090091375455668e-05,2821.3965,0.0002980585312746639,142.4907,1.5053030923621954e-05,2795.2227,0.0002952934734793923,39.038399999999996,4.12410243200941e-06,3.9294,4.151104578143002e-07,0.0,0.0,1111.7961,0.0001174525851445904,78.3099,8.272830060668821e-06,9.0198,9.528715089818865e-07,93.3057,9.85701935249243e-06,13.2453,1.3992626220002419e-06,0.0,0.0
1987,Canada,2954.5983,0.0002968578287544271,1238.7231,0.0001244584246508072,0.0,0.0,0.0,0.0,538.8362999999999,5.413858597023802e-05,622.593,6.255388631940424e-05,0.0,0.0,1366.884,0.00013733515530661692,0.0,0.0,735.8814,7.393632989796552e-05,230.73569999999998,2.318274498368623e-05,80.1495,8.05287356516551e-06,0.009899999999999999,9.946842874271025e-10,991.9898999999999,9.966836028448308e-05,31.5945,3.1743992645571303e-06,42.0867,4.228583757541236e-06,8.109,8.147368572471085e-07,231.93179999999998,2.3302920930776288e-05,0.0,0.0
1987,United States,1954.5111,0.00020647885110300083,0.081,8.55701814092694e-09,54.1278,5.7181798336847556e-06,4.8951,5.17129129650018e-07,3150.6246,0.0003328389118203788,184.45319999999998,1.9486041710518824e-05,366.3657,3.870367828535058e-05,2888.6454,0.00030516285296919944,68.2632,7.21147457725585e-06,1764.6669,0.00018642329229621364,48.0366,5.07469206948705e-06,3.8322,4.048420360451879e-07,0.0,0.0,1491.6734999999999,0.00015758366913382692,90.8784,9.600594042202652e-06,30.815099999999997,3.2553749347466385e-06,271.4832,2.8680082313048108e-05,28.0476,2.9630101482649682e-06,0.0054,5.70467876061796e-10
1988,Canada,4463.6364,0.00044847565574420985,442.1493,4.4424137515847695e-05,0.0,0.0,0.0,0.0,286.1469,2.8750083366260036e-05,354.7368,3.564152738708794e-05,0.0,0.0,2163.1761,0.00021734113915230694,0.0,0.0,1273.6952999999999,0.0001279721921090656,158.9175,1.5966943459312783e-05,1072.7118,0.00010777874468663076,13.6737,1.3738398526254517e-06,1762.2161999999998,0.00017705543082722184,23.715,2.382720997609468e-06,45.3231,4.553755093685587e-06,13.2651,1.3327865193080058e-06,279.7794,2.8110320517755786e-05,0.0,0.0
1988,United States,3375.5337,0.0003565988037803733,0.3006,3.1756045100773304e-08,56.436299999999996,5.9620548507011726e-06,0.7263,7.672792933031155e-08,352.6452,3.7254214490256895e-05,718.2755999999999,7.588021406648372e-05,664.9875,7.025074198752658e-05,10499.3487,0.001109174287577996,119.4066,1.261437583143712e-05,2016.3132,0.00021300776086654875,46.750499999999995,4.938825637004998e-06,0.5436,5.7427099523554126e-08,0.0,0.0,1881.2331,0.00019873760202484227,85.7385,9.057603702171166e-06,13.1409,1.3882335763963804e-06,116.6562,1.2323817526562979e-05,64.5102,6.814999403392902e-06,0.0072,7.606238347490612e-10
