YEAR,COUNTRY,CLASS_1_BURN_AREA_KM2,CLASS_1_BURN_AREA_PCT,CLASS_2_BURN_AREA_KM2,CLASS_2_BURN_AREA_PCT,CLASS_3_BURN_AREA_KM2,CLASS_3_BURN_AREA_PCT,CLASS_4_BURN_AREA_KM2,CLASS_4_BURN_AREA_PCT,CLASS_5_BURN_AREA_KM2,CLASS_5_BURN_AREA_PCT,CLASS_6_BURN_AREA_KM2,CLASS_6_BURN_AREA_PCT,CLASS_7_BURN_AREA_KM2,CLASS_7_BURN_AREA_PCT,CLASS_8_BURN_AREA_KM2,CLASS_8_BURN_AREA_PCT,CLASS_9_BURN_AREA_KM2,CLASS_9_BURN_AREA_PCT,CLASS_10_BURN_AREA_KM2,CLASS_10_BURN_AREA_PCT,CLASS_11_BURN_AREA_KM2,CLASS_11_BURN_AREA_PCT,CLASS_12_BURN_AREA_KM2,CLASS_12_BURN_AREA_PCT,CLASS_13_BURN_AREA_KM2,CLASS_13_BURN_AREA_PCT,CLASS_14_BURN_AREA_KM2,CLASS_14_BURN_AREA_PCT,CLASS_15_BURN_AREA_KM2,CLASS_15_BURN_AREA_PCT,CLASS_16_BURN_AREA_KM2,CLASS_16_BURN_AREA_PCT,CLASS_17_BURN_AREA_KM2,CLASS_17_BURN_AREA_PCT,CLASS_18_BURN_AREA_KM2,CLASS_18_BURN_AREA_PCT,CLASS_19_BURN_AREA_KM2,CLASS_19_BURN_AREA_PCT
1984,Canada,3174.966,0.0003189988680116442,491.175,4.934990453303102e-05,0.0,0.0,0.0,0.0,329.8302,3.3139082571609966e-05,239.6556,2.407895552665805e-05,0.0,0.0,1358.7966,0.00013652258866963328,0.0,0.0,1398.447,0.00014050638966662315,54.8829,5.514258411962921e-06,67.4136,6.773257442312699e-06,4.0761,4.095386488870316e-07,1450.2834,0.00014571455659559147,40.9824,4.117631246570958e-06,34.3962,3.4558949178990004e-06,8.9955,9.0380631389399e-07,228.96359999999999,2.300469649623678e-05,0.0,0.0
1984,United States,217.3689,2.2963328649053505e-05,0.1296,1.3691229025483102e-08,22.797,2.4083252167742155e-06,0.9692999999999999,1.0239898375309237e-07,21.4695,2.2680851972423572e-06,32.9544,3.4813752916464535e-06,245.0853,2.5891350100920016e-05,2167.7436,0.00022900520135899098,51.3459,5.4242937995335875e-06,2283.6888,0.00024125390728187252,44.9208,4.745532104999393e-06,5.0463,5.331022301797483e-07,0.0,0.0,405.12239999999997,4.279802130982543e-05,47.0772,4.973338943506737e-06,15.12,1.5973100529730287e-06,40.9536,4.326428372052661e-06,6.3549,6.713456121453902e-07,0.0,0.0
1985,Canada,2903.5431,0.0002917281514583212,242.83169999999998,2.4398068331233527e-05,0.0,0.0,0.0,0.0,207.9711,2.0895513677669766e-05,375.2244,3.769998130699617e-05,0.0,0.0,1785.8510999999999,0.00017943010392468758,0.0,0.0,762.9254999999999,7.665353609368342e-05,20.3544,2.0450708949501226e-06,82.0566,8.244485929261696e-06,7.5663,7.602100731272409e-07,445.1409,4.47247130223393e-05,26.279999999999998,2.640434653897399e-06,80.4744,8.085517294961982e-06,8.325,8.364390598818815e-07,192.2121,1.931215714377444e-05,0.3717,3.734587370067212e-08
1985,United States,802.5785999999999,8.47861683916018e-05,0.0,0.0,589.7691,6.230450478590313e-05,5.6286,5.946176828150786e-07,228.8124,2.4172245156407793e-05,340.1946,3.593890572401708e-05,717.8229,7.583238984287389e-05,4051.5317999999997,0.00042801272976718984,264.2319,2.7914039033476457e-05,4586.4459,0.00048452223171209854,25.4367,2.6871889301890897e-06,1.3329,1.4081048740791997e-07,0.0,0.0,2413.9701,0.00025501711033771874,173.02859999999998,1.827912184073075e-05,27.9468,2.9523614145784815e-06,183.7953,1.9416539707618632e-05,36.1215,3.815954700956697e-06,0.0036,3.803119173745306e-10
1986,Canada,3308.2416,0.0003323894887406765,593.1288,5.959352502833256e-05,0.0,0.0,0.0,0.0,134.7201,1.3535754209152322e-05,866.8403999999999,8.709419450373985e-05,0.0,0.0,1836.2124,0.00018449006289482925,0.0,0.0,473.157,4.753957912991369e-05,70.623,7.095716003127703e-06,87.27839999999999,8.769136677957335e-06,0.5031,5.054804697015912e-08,727.3719,7.308135353999977e-05,16.4295,1.6507237879074325e-06,16.357499999999998,1.6434897203625079e-06,14.2173,1.4284570625896307e-06,122.90039999999999,1.2348191595808672e-05,0.0,0.0
1986,United States,672.4548,7.10396039821407e-05,0.5327999999999999,5.628616377143053e-08,82.1088,8.674154211478296e-06,4.1517,4.385947187121775e-07,115.2846,1.2178918686043282e-05,63.6192,6.720872203842706e-06,318.0267,3.359704001480407e-05,2270.0439,0.0002398124300370437,125.10629999999999,1.3216504674620345e-05,3259.5858,0.0003443498126235537,39.0366,4.123912276050723e-06,3.9402,4.162513935664238e-07,0.0,0.0,1108.5795,0.00011711277644641626,82.2222,8.686134036875592e-06,70.6599,7.4646672362479435e-06,90.7272,9.58462094167292e-06,16.569,1.7503855997162773e-06,0.0,0.0
1987,Canada,3599.6733,0.000361670552664734,1191.9618,0.00011976016905791177,0.0,0.0,0.0,0.0,484.8759,4.8717014048694446e-05,599.0183999999999,6.018527175350737e-05,0.0,0.0,1164.8627999999999,0.00011703744688569083,0.0,0.0,529.65,5.3215609377349983e-05,141.831,1.4250208805057916e-05,85.8933,8.629971303561852e-06,0.009899999999999999,9.946842874271025e-10,987.3828,9.920547038745224e-05,30.897,3.104319235215675e-06,35.226,3.5392675463542537e-06,7.7318999999999996,7.76848428480567e-07,215.10899999999998,2.1612681048904703e-05,0.0,0.0
1987,United States,2286.0522,0.0002415035820556289,0.081,8.55701814092694e-09,51.9309,5.4860944861069485e-06,4.1453999999999995,4.37929172856772e-07,3098.7441,0.00032735814170111507,184.0401,1.94424009180001e-05,358.4223,3.786452003966368e-05,2439.9593999999997,0.0002577626771472248,77.544,8.19191870024739e-06,1891.1619,0.00019978650229296124,48.0366,5.07469206948705e-06,3.8322,4.048420360451879e-07,0.0,0.0,1491.8192999999999,0.00015759907176648058,92.4957,9.771449171083159e-06,74.304,7.849637974610314e-06,269.5086,2.8471481226368174e-05,29.3229,3.097735644994896e-06,0.0054,5.70467876061796e-10
1988,Canada,5122.904399999999,0.0005147143952193099,472.5882,4.7482429996308786e-05,0.0,0.0,0.0,0.0,294.9462,2.9634176846094105e-05,361.7784,3.634901919298154e-05,0.0,0.0,2002.5117,0.00020119867912918543,0.0,0.0,851.0183999999999,8.55045081607427e-05,66.2364,6.6549804379531855e-06,1100.7198,0.00011059279696160634,13.6197,1.3684143019667583e-06,1751.5466999999999,0.00017598343244290836,23.5656,2.36771030745375e-06,16.163999999999998,1.6240481638355234e-06,15.384599999999999,1.5457393826617172e-06,260.1585,2.613894668591958e-05,0.0,0.0
1988,United States,3366.2466,0.0003556176941115263,0.3006,3.1756045100773304e-08,60.6141,6.403406830814316e-06,0.7434,7.853441093784057e-08,350.3169,3.7008247757694916e-05,731.4947999999999,7.7276719427083e-05,545.6025,5.763864802759371e-05,9417.922199999999,0.000994930013768377,234.0468,2.472521868427036e-05,3069.9936,0.0003243208756509827,46.750499999999995,4.938825637004998e-06,0.5436,5.7427099523554126e-08,0.0,0.0,1879.56,0.00019856085206124244,94.8789,1.0023215660385099e-05,39.205799999999996,4.141786936167325e-06,108.5535,1.1467830478532254e-05,65.78999999999999,6.950200290019547e-06,0.0072,7.606238347490612e-10
